aeropuerto,iata_code,total_pasajeros,variacion_pct_pasajeros,mes_anio,ranking_pasajeros,pasajeros_anio_anterior,cuota_red_pct,tipo_trafico,total_operaciones,variacion_pct_operaciones,ranking_operaciones,ops_anio_anterior,pct_sobre_red,promedio_diario_ops,ocupacion_estimada_pax_op
Adolfo Suárez Madrid-Barajas,MAD,5379569,3.5,2026-01,1,5197651.0,26.48,Mixto,34658,2.5,1,33813,19.98,1118.0,165.0
Josep Tarradellas Barcelona-El Prat,BCN,3806895,3.0,2026-01,2,3696015.0,18.74,Mixto,24537,-0.2,2,24586,14.15,791.5,122.0
Málaga-Costa del Sol,AGP,1440294,5.1,2026-01,3,1370403.0,7.09,Mixto,10830,3.9,4,10423,6.24,349.4,136.0
Gran Canaria,LPA,1398924,2.1,2026-01,4,1370151.0,6.89,Internacional,12349,1.5,3,12167,7.12,398.4,139.0
Tenerife Sur,TFS,1275134,-1.0,2026-01,5,1288014.0,6.28,Internacional,8409,-3.5,6,8714,4.85,271.3,167.0
Alicante-Elche Miguel Hdez.,ALC,1106689,4.7,2026-01,6,1057010.0,5.45,Mixto,7521,5.6,7,7122,4.34,242.6,182.0
Palma de Mallorca,PMI,882638,-3.0,2026-01,7,909936.0,4.34,Internacional,8496,-1.9,5,8661,4.9,274.1,172.0
Valencia,VLC,756281,7.0,2026-01,8,706805.0,3.72,Mixto,6257,3.0,9,6075,3.61,201.8,150.0
Sevilla,SVQ,717163,9.4,2026-01,9,655542.0,3.53,Mixto,5491,8.6,11,5056,3.17,177.1,135.0
Lanzarote-César Manrique,ACE,703457,0.3,2026-01,10,701353.0,3.46,Internacional,5907,2.6,10,5757,3.41,190.5,122.0
Fuerteventura,FUE,533137,-3.0,2026-01,11,549626.0,2.62,Internacional,4358,-2.2,12,4456,2.51,140.6,155.0
Tenerife Norte-C. La Laguna,TFN,525988,1.1,2026-01,12,520265.0,2.59,Internacional,6700,2.3,8,6549,3.86,216.1,126.0
Bilbao,BIO,415349,13.5,2026-01,13,365946.0,2.04,Mixto,3241,9.0,14,2973,1.87,104.5,134.0
Ibiza,IBZ,199053,-5.6,2026-01,14,210861.0,0.98,Internacional,2555,-4.5,17,2675,1.47,82.4,135.0
Asturias,OVD,138916,4.6,2026-01,15,132807.0,0.68,Mixto,1107,2.8,23,1077,0.64,35.7,144.0
Santiago-Rosalía de Castro,SCQ,133079,-29.2,2026-01,16,187965.0,0.66,Mixto,1068,-28.7,25,1498,0.62,34.5,187.0
La Palma,SPC,125063,-0.9,2026-01,17,126199.0,0.62,Internacional,1937,2.9,18,1882,1.12,62.5,161.0
A Coruña,LCG,98242,4.0,2026-01,18,94463.0,0.48,Mixto,1095,-0.6,24,1102,0.63,35.3,131.0
FGL Granada-Jaén,GRX,96729,4.2,2026-01,19,92830.0,0.48,Mixto,1567,1.9,19,1538,0.9,50.5,177.0
Menorca,MAH,82872,-4.1,2026-01,20,86415.0,0.41,Internacional,1261,-5.5,22,1334,0.73,40.7,169.0
Vigo,VGO,72303,-8.1,2026-01,21,78676.0,0.36,Mixto,802,-6.6,29,859,0.46,25.9,179.0
Seve Ballesteros-Santander,SDR,62291,6.0,2026-01,22,58765.0,0.31,Mixto,647,-7.2,32,697,0.37,20.9,171.0
Zaragoza,ZAZ,46335,5.2,2026-01,23,44045.0,0.23,Mixto,745,10.5,30,674,0.43,24.0,162.0
Melilla,MLN,39367,1.5,2026-01,24,38785.0,0.19,Mixto,835,-3.8,28,868,0.48,26.9,127.0
Aeropuerto Intl. Región Murcia,MJV,38164,26.7,2026-01,25,30122.0,0.19,Mixto,447,28.8,37,347,0.26,14.4,178.0
Jerez de la Frontera,XRY,36620,12.2,2026-01,26,32638.0,0.18,Mixto,2881,14.8,16,2510,1.66,92.9,158.0
Girona-Costa Brava,GRO,35462,-8.2,2026-01,27,38630.0,0.17,Mixto,1292,-3.9,20,1344,0.74,41.7,120.0
