vuelo_id,codigo_aerolinea,aeropuerto_origen,aeropuerto_destino,estado_vuelo,retraso_salida_min,retraso_llegada_min,pasajeros_a_bordo,capacidad_asientos,load_factor,fecha_vuelo,hora_salida_programada,tipo_operacion,distancia_km,mes_anio
RYR1409,RYR,BCN,STN,Retrasado,33.2,27.9,127,145,0.88,2026-01-29,08:45,1141,1141,2026-01
VLG1488,VLG,BCN,SVQ,A tiempo,0.0,0.0,147,180,0.82,2026-01-01,12:45,845,845,2026-01
SWR8359,SWR,MAD,ZRH,Retrasado,98.1,78.7,144,162,0.89,2026-01-11,14:15,1782,1782,2026-01
DLH6514,DLH,MAD,FRA,A tiempo,0.0,0.0,168,248,0.68,2026-01-28,17:30,1858,1858,2026-01
VLG8527,VLG,BCN,SVQ,Retrasado,116.9,106.8,175,189,0.93,2026-01-20,17:15,845,845,2026-01
IBB1750,IBB,MAD,LCG,Retrasado,93.9,102.9,169,180,0.94,2026-01-13,14:45,598,598,2026-01
IBE3664,IBE,MAD,GRU,Retrasado,29.1,25.6,124,145,0.86,2026-01-06,13:15,9354,9354,2026-01
DAL7216,DAL,MAD,JFK,Retrasado,111.4,112.1,158,180,0.88,2026-01-27,07:15,5769,5769,2026-01
VLG6168,VLG,BCN,SVQ,Retrasado,12.6,13.5,146,204,0.72,2026-01-16,18:45,845,845,2026-01
EZY5339,EZY,AGP,LGW,A tiempo,0.0,0.0,170,189,0.9,2026-01-14,18:30,1736,1736,2026-01
SWR3266,SWR,MAD,ZRH,Retrasado,15.5,12.6,101,145,0.7,2026-01-06,19:00,1782,1782,2026-01
AEA7252,AEA,MAD,BCN,Retrasado,58.8,51.5,114,130,0.88,2026-01-04,14:30,620,620,2026-01
RYR5808,RYR,BCN,STN,Retrasado,57.2,62.1,185,189,0.98,2026-01-25,11:00,1141,1141,2026-01
KLM9317,KLM,MAD,AMS,Retrasado,22.6,23.2,110,130,0.85,2026-01-16,06:00,1459,1459,2026-01
IBE6038,IBE,MAD,GRU,A tiempo,0.0,0.0,171,180,0.95,2026-01-31,08:00,9354,9354,2026-01
UAL2133,UAL,MAD,EWR,Retrasado,66.3,55.5,291,300,0.97,2026-01-06,14:45,5740,5740,2026-01
DLH9835,DLH,MAD,FRA,Retrasado,84.3,85.5,245,248,0.99,2026-01-21,17:45,1858,1858,2026-01
LDM8397,LDM,AGP,MAN,A tiempo,0.0,0.0,120,180,0.67,2026-01-01,13:15,1823,1823,2026-01
IBE2163,IBE,MAD,BCN,Retrasado,11.8,9.7,122,130,0.94,2026-01-03,22:15,620,620,2026-01
BAW8953,BAW,MAD,LHR,A tiempo,0.0,0.0,145,162,0.9,2026-01-29,21:15,1246,1246,2026-01
UAL7669,UAL,MAD,EWR,A tiempo,0.0,0.0,126,145,0.87,2026-01-12,19:45,5740,5740,2026-01
DAL1887,DAL,MAD,JFK,Retrasado,118.2,98.0,223,248,0.9,2026-01-26,09:15,5769,5769,2026-01
DLH4116,DLH,MAD,FRA,Retrasado,21.1,18.0,219,300,0.73,2026-01-30,08:45,1858,1858,2026-01
CNF2604,CNF,ACE,PMI,A tiempo,0.0,0.0,127,130,0.98,2026-01-30,13:15,1760,1760,2026-01
TAP8956,TAP,MAD,LIS,Retrasado,104.4,111.8,126,162,0.78,2026-01-13,14:45,624,624,2026-01
KLM7930,KLM,MAD,AMS,Retrasado,89.0,92.1,210,300,0.7,2026-01-10,12:00,1459,1459,2026-01
BEL9883,BEL,MAD,BRU,A tiempo,0.0,0.0,136,204,0.67,2026-01-19,21:15,1311,1311,2026-01
VLG9320,VLG,BCN,SVQ,A tiempo,0.0,0.0,108,162,0.67,2026-01-03,13:45,845,845,2026-01
RYR5033,RYR,BCN,STN,Retrasado,9.6,7.9,197,204,0.97,2026-01-07,16:15,1141,1141,2026-01
BAW7484,BAW,MAD,LHR,A tiempo,0.0,0.0,153,189,0.81,2026-01-30,08:00,1246,1246,2026-01
DAL2638,DAL,MAD,JFK,A tiempo,0.0,0.0,147,180,0.82,2026-01-05,17:00,5769,5769,2026-01
SWR7054,SWR,MAD,ZRH,Retrasado,55.4,53.3,162,189,0.86,2026-01-26,22:00,1782,1782,2026-01
CNF5905,CNF,ACE,PMI,Retrasado,16.9,18.0,130,189,0.69,2026-01-04,10:30,1760,1760,2026-01
KLM4450,KLM,MAD,AMS,Retrasado,28.4,28.1,154,189,0.82,2026-01-09,07:00,1459,1459,2026-01
TAP5533,TAP,MAD,LIS,A tiempo,0.0,0.0,185,204,0.91,2026-01-21,14:15,624,624,2026-01
DAL8007,DAL,MAD,JFK,Retrasado,17.9,19.4,136,162,0.84,2026-01-27,17:15,5769,5769,2026-01
TAP3088,TAP,MAD,LIS,A tiempo,0.0,0.0,195,204,0.96,2026-01-26,07:30,624,624,2026-01
DLH5088,DLH,MAD,FRA,Retrasado,45.7,44.2,243,248,0.98,2026-01-24,10:15,1858,1858,2026-01
TUI3900,TUI,PMI,BHX,Retrasado,7.9,8.1,187,204,0.92,2026-01-14,13:30,1593,1593,2026-01
TUI2771,TUI,PMI,BHX,Retrasado,9.5,8.9,167,180,0.93,2026-01-15,17:30,1593,1593,2026-01
SWR4652,SWR,MAD,ZRH,A tiempo,0.0,0.0,142,180,0.79,2026-01-09,08:30,1782,1782,2026-01
IBE9346,IBE,MAD,GRU,Retrasado,117.8,113.2,89,130,0.69,2026-01-09,11:30,9354,9354,2026-01
VLG2776,VLG,BCN,SVQ,Retrasado,44.8,46.4,213,248,0.86,2026-01-17,09:45,845,845,2026-01
BEL4114,BEL,MAD,BRU,Retrasado,86.5,69.2,138,180,0.77,2026-01-03,16:30,1311,1311,2026-01
RYR5920,RYR,BCN,STN,Retrasado,81.7,73.4,158,189,0.84,2026-01-07,19:45,1141,1141,2026-01
TUI5930,TUI,PMI,BHX,Retrasado,100.9,89.9,144,180,0.8,2026-01-19,16:45,1593,1593,2026-01
DAL8244,DAL,MAD,JFK,Retrasado,63.8,66.2,140,162,0.87,2026-01-10,22:30,5769,5769,2026-01
IBB4848,IBB,MAD,LCG,Retrasado,30.8,26.5,87,130,0.67,2026-01-16,08:45,598,598,2026-01
TAP4185,TAP,MAD,LIS,Retrasado,49.2,45.3,140,162,0.87,2026-01-01,09:45,624,624,2026-01
SWR3881,SWR,MAD,ZRH,Retrasado,85.0,79.8,172,180,0.96,2026-01-04,20:15,1782,1782,2026-01
DAL9702,DAL,MAD,JFK,Retrasado,73.5,79.7,258,300,0.86,2026-01-24,22:45,5769,5769,2026-01
CNF8305,CNF,ACE,PMI,Retrasado,90.5,85.3,171,189,0.91,2026-01-27,14:45,1760,1760,2026-01
SWR5499,SWR,MAD,ZRH,Retrasado,87.1,75.8,155,204,0.76,2026-01-18,08:15,1782,1782,2026-01
EZY4788,EZY,AGP,LGW,Retrasado,22.6,19.5,195,248,0.79,2026-01-18,20:45,1736,1736,2026-01
VLG4388,VLG,BCN,SVQ,Retrasado,49.8,51.3,122,130,0.94,2026-01-25,18:45,845,845,2026-01
IBE6763,IBE,MAD,BCN,Retrasado,49.8,53.2,205,248,0.83,2026-01-24,13:45,620,620,2026-01
SWR5471,SWR,MAD,ZRH,Retrasado,8.3,7.5,223,248,0.9,2026-01-27,20:15,1782,1782,2026-01
RYR9751,RYR,BCN,DUB,A tiempo,0.0,0.0,210,248,0.85,2026-01-22,06:00,1469,1469,2026-01
TAP3223,TAP,MAD,LIS,Retrasado,25.9,22.7,146,204,0.72,2026-01-11,16:45,624,624,2026-01
BAW7906,BAW,MAD,LHR,Retrasado,14.4,11.6,128,130,0.99,2026-01-12,13:00,1246,1246,2026-01
VLG1508,VLG,BCN,SVQ,Retrasado,27.9,22.5,118,162,0.73,2026-01-16,09:15,845,845,2026-01
DAL5198,DAL,MAD,JFK,Retrasado,24.3,23.9,131,145,0.91,2026-01-06,15:00,5769,5769,2026-01
BEL1420,BEL,MAD,BRU,Retrasado,71.2,76.4,193,248,0.78,2026-01-23,12:00,1311,1311,2026-01
BEL4978,BEL,MAD,BRU,A tiempo,0.0,0.0,177,189,0.94,2026-01-20,09:00,1311,1311,2026-01
IBE9728,IBE,MAD,GRU,Retrasado,47.6,45.3,132,204,0.65,2026-01-14,21:00,9354,9354,2026-01
TAP6934,TAP,MAD,LIS,Retrasado,100.3,101.5,176,248,0.71,2026-01-17,14:45,624,624,2026-01
DAL8136,DAL,MAD,JFK,Retrasado,73.1,65.5,167,180,0.93,2026-01-03,14:45,5769,5769,2026-01
SWR8613,SWR,MAD,ZRH,Retrasado,81.8,73.7,282,300,0.94,2026-01-06,21:15,1782,1782,2026-01
IBE5232,IBE,MAD,GRU,Retrasado,106.2,107.3,158,189,0.84,2026-01-17,12:00,9354,9354,2026-01
SWR7658,SWR,MAD,ZRH,Retrasado,92.2,92.9,240,300,0.8,2026-01-01,08:30,1782,1782,2026-01
SWR7625,SWR,MAD,ZRH,Retrasado,40.2,39.2,252,300,0.84,2026-01-12,19:30,1782,1782,2026-01
IBE8434,IBE,MAD,GRU,Retrasado,33.9,28.3,136,180,0.76,2026-01-24,11:15,9354,9354,2026-01
DLH8933,DLH,MAD,FRA,Retrasado,72.8,74.8,185,189,0.98,2026-01-27,12:30,1858,1858,2026-01
SWR6912,SWR,MAD,ZRH,A tiempo,0.0,0.0,115,130,0.89,2026-01-05,14:00,1782,1782,2026-01
VLG5786,VLG,BCN,SVQ,Retrasado,19.5,20.7,204,300,0.68,2026-01-01,15:45,845,845,2026-01
UAL8216,UAL,MAD,EWR,Retrasado,116.0,101.6,206,300,0.69,2026-01-03,18:45,5740,5740,2026-01
IBB1878,IBB,MAD,LCG,A tiempo,0.0,0.0,128,189,0.68,2026-01-08,09:45,598,598,2026-01
RYR4697,RYR,BCN,DUB,Retrasado,48.7,52.2,177,189,0.94,2026-01-14,15:00,1469,1469,2026-01
RYR2625,RYR,BCN,DUB,Retrasado,28.9,24.9,101,145,0.7,2026-01-06,08:15,1469,1469,2026-01
IBE7693,IBE,MAD,BCN,Retrasado,73.3,65.0,135,180,0.75,2026-01-10,20:00,620,620,2026-01
SWR5334,SWR,MAD,ZRH,Retrasado,76.9,76.8,142,180,0.79,2026-01-18,13:15,1782,1782,2026-01
BAW3330,BAW,MAD,LHR,A tiempo,0.0,0.0,149,162,0.92,2026-01-20,15:45,1246,1246,2026-01
RYR8679,RYR,BCN,STN,Retrasado,85.5,92.6,240,300,0.8,2026-01-20,07:45,1141,1141,2026-01
